"area","diam.max","species","sample","dataset","datasetAB","area_log"
32778.88299,224.5798389,"glutinata",44,"resample","A",10.3975397757563
25272.81296,198.0797326,"glutinata",44,"resample","A",10.1374845103723
28887.03535,213.2385687,"glutinata",44,"resample","A",10.2711481696415
25819.1489,203.4430792,"glutinata",44,"resample","A",10.1588717010378
35947.37674,232.3968601,"glutinata",44,"resample","A",10.4898113908067
29927.4933,215.3423611,"glutinata",44,"resample","A",10.3065328452511
38675.23592,237.3741047,"glutinata",44,"resample","A",10.5629547754873
50073.15358,286.9185534,"glutinata",44,"resample","A",10.8212402867638
31122.04602,216.4483746,"glutinata",44,"resample","A",10.3456717222751
39012.71617,243.3924426,"glutinata",44,"resample","A",10.5716429276082
27198.36062,198.7728822,"glutinata",44,"resample","A",10.2109119791442
20483.14052,181.2813688,"glutinata",44,"resample","A",9.92735741310032
26189.74042,206.4536704,"glutinata",44,"resample","A",10.1731230260361
28375.47994,211.6743605,"glutinata",44,"resample","A",10.2532806688257
36299.22163,239.1680004,"glutinata",44,"resample","A",10.4995515773233
29268.18264,211.978095,"glutinata",44,"resample","A",10.2842562882469
30820.35939,225.1333047,"glutinata",44,"resample","A",10.3359307697406
27344.04643,201.4142689,"glutinata",44,"resample","A",10.2162541033498
36630.96926,243.4671703,"glutinata",44,"resample","A",10.5086493162472
35834.77496,240.2876618,"glutinata",44,"resample","A",10.4866740685143
35742.28775,242.2543284,"glutinata",44,"resample","A",10.484089797577
31015.38678,219.8970877,"glutinata",44,"resample","A",10.3422387080694
28856.01135,212.2056106,"glutinata",44,"resample","A",10.2700736159157
37845.36661,243.3804441,"glutinata",44,"resample","A",10.5412638368413
34157.94153,226.5754545,"glutinata",44,"resample","A",10.4387503864264
44345.60941,267.1553525,"glutinata",44,"resample","A",10.6997689841899
48411.02573,278.5583664,"glutinata",44,"resample","A",10.7874828711001
38524.94659,239.986245,"glutinata",44,"resample","A",10.5590612738149
40437.01925,256.7122172,"glutinata",44,"resample","A",10.6075009624554
37195.94551,248.9507734,"glutinata",44,"resample","A",10.5239550426545
37839.33484,245.551691,"glutinata",44,"resample","A",10.5411044447872
90995.35686,373.6327207,"glutinata",44,"resample","A",11.4185637606808
81221.87085,362.6635677,"glutinata",44,"resample","A",11.3049398353261
36305.25341,249.0597791,"glutinata",44,"resample","A",10.4997177318203
38653.62446,253.5957107,"glutinata",44,"resample","A",10.5623958260742
55783.86531,288.8068465,"glutinata",44,"resample","A",10.9292399544063
29344.58512,212.7591605,"glutinata",44,"resample","A",10.2868633148792
27901.07289,202.080095,"humilis",55,"resample","A",10.2364204219088
31126.27027,221.6489525,"humilis",55,"resample","A",10.3458074448218
27354.18488,217.8810348,"humilis",55,"resample","A",10.2166248082108
39466.69699,238.3960827,"inflata",10,"resample","A",10.5832124810913
47468.67521,277.0278018,"inflata",10,"resample","A",10.7678253032141
40682.80311,237.4248764,"inflata",10,"resample","A",10.6135607541307
54854.49299,289.6045317,"inflata",10,"resample","A",10.912439376478
45798.55615,260.6681839,"inflata",10,"resample","A",10.7320078444962
40099.07217,247.9970559,"inflata",10,"resample","A",10.5991084751217
40212.57541,243.2439434,"inflata",10,"resample","A",10.6019350468331
26794.87132,197.7829111,"inflata",10,"resample","A",10.1959657795289
29567.59325,206.0541629,"inflata",10,"resample","A",10.2944342179209
35648.12381,231.5471113,"inflata",10,"resample","A",10.481451796407
46317.42809,275.1336979,"inflata",10,"resample","A",10.743273585878
50338.68563,271.0367438,"inflata",10,"resample","A",10.8265291584954
46155.28061,267.013572,"inflata",10,"resample","A",10.7397666561371
28416.34613,208.8678527,"inflata",10,"resample","A",10.2547198265313
28335.27239,202.6421715,"inflata",10,"resample","A",10.2518626817567
30199.96843,224.3447754,"inflata",10,"resample","A",10.3155961579982
30556.69289,207.7001142,"inflata",10,"resample","A",10.3273390204743
33264.55583,224.2182567,"inflata",10,"resample","A",10.4122477196143
35291.39935,222.0929172,"inflata",10,"resample","A",10.4713945687593
35964.31139,229.2245436,"inflata",10,"resample","A",10.4902823754478
37642.53783,238.1238633,"inflata",10,"resample","A",10.5358900151778
