"sample","c22","Lat","Long"
593,0.756256824944606,1.95,3.5517
594,0.709718622953278,1.95,3.5517
595,0.717637222610054,1.95,3.5517
596,0.693850076584139,1.95,3.5517
597,0.677284727884414,1.95,3.5517
598,0.286003533978584,-19.5617,11.175
599,0.140651364853848,-19.5617,11.175
600,0.14047545614037,-19.5617,11.175
601,0.109026648211363,-19.5617,11.175
602,0.120533689545437,-23.315,12.3767
603,0.202548255183719,-23.315,12.3767
604,0.153189263787425,-23.315,12.3767
605,0.207732170188679,-23.315,12.3767
606,0.226874757879571,-23.315,12.3767
607,0.207597155951595,-23.315,12.3767
608,0.197349173092697,-23.315,12.3767
609,0.123369616093051,-23.315,12.3767
610,0.146782721507652,-23.315,12.3767
611,0.276824630869913,-23.315,12.3767
612,0.154934552214804,-23.315,12.3767
613,0.221901680736709,-23.315,12.3767
614,0.28071551896935,-23.315,12.3767
615,0.180285634985371,-23.315,12.3767
616,0.106482459017313,-23.315,12.3767
617,0.254728733204131,-23.315,12.3767
618,0.215265574669317,-23.315,12.3767
619,0.847431675743156,-29.45,11.75
620,0.560642657332663,-29.45,11.75
621,0.707318842505598,-30.87,14.3433
622,0.724355765638135,-30.87,14.3433
623,0.642880898743084,-30.87,14.3433
624,0.50105024783168,-31.9,-1.33
625,0.821659788134173,-36.06,-8.7783
626,0.545678098919658,-36.8333,-14.4033
627,0.792307379740079,-8.675,-11.845
628,0.703694028452258,-8.675,-11.845
629,0.754790869612713,-8.675,-11.845
630,0.950078520327947,-17.1433,-13.9867
631,0.894971989721132,-17.1433,-13.9867
632,0.894979026335031,-3.6783,-32.0067
633,0.908179491845034,-3.6783,-32.0067
634,0.718503394472655,2.3117,-30.6467
635,0.733009095599058,2.3117,-30.6467
636,0.899548837158,2.27,-33.01
637,0.925697351685302,2.27,-33.01
638,1,5.3333,-34.025
639,0.981944489847628,4.2383,-43.6667
640,0.984728278489721,4.2383,-43.6667
641,1,4.2383,-43.6667
642,0.976174685018572,3.8317,-41.6217
643,0.979073002119113,3.8317,-41.6217
644,1,-27.9117,-45.8817
645,0.991004701646108,-27.9117,-45.8817
646,0.950627045787737,-27.9117,-45.8817
647,0.988779900363201,-27.9117,-45.8817
648,0.27650662102095,-25.5117,-35.9983
649,0.880697997371641,-23.0383,-36.6517
650,0.960373371977485,-20.8233,-39.8633
651,0.959119528333148,-20.8233,-39.8633
652,0.9784635389681,-8.1983,-34.265
653,0.999417346542585,-8.1983,-34.265
654,0.985878249398978,-8.1983,-34.265
655,0.979824537832756,-8.1983,-34.265
656,0.982101236548243,-8.5283,-34.0217
657,0.998390641898973,-8.5283,-34.0217
658,0.635710901038555,0.0067,-23.495
659,0.360036079147482,0.0067,-23.495
660,0.89294708840362,-15.68,-9.455
661,0.885717324941433,-15.68,-9.455
662,0.904096464203002,-20.3667,-12.7067
663,0.946431689876631,-20.3667,-12.7067
664,0.960125648303937,-15.5367,-17.0683
665,0.82624159853691,-30.8483,-38.3433
666,0.842486326378364,-3.6667,-37.7167
